epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5518,1.08769,3.08175,1.20855,0.0125,1,0.1745,0.11731,0.66372,2.92491,0.98829,8e-05,8e-05,8e-05
2,43.1368,0.62747,2.38613,0.95181,0.0125,1,0.29367,0.2148,0.52242,2.76081,0.86623,0.000175545,0.000175545,0.000175545
3,60.6749,0.4657,1.22596,0.87256,1,0.07761,0.62077,0.57194,0.33767,2.38908,0.76766,0.00026614,0.00026614,0.00026614
4,78.9525,0.45949,0.91865,0.89644,1,0.2296,0.84538,0.76469,0.36286,2.2287,0.78174,0.000351785,0.000351785,0.000351785
5,96.6032,0.4431,0.80747,0.88111,1,0.23304,0.88817,0.81427,0.36778,2.19168,0.77589,0.00043248,0.00043248,0.00043248
6,114.131,0.41838,0.79005,0.87652,1,0.26745,0.83022,0.75353,0.38355,2.15218,0.77566,0.000508225,0.000508225,0.000508225
7,130.915,0.42367,0.75983,0.86528,0.85622,0.31767,0.86338,0.78025,0.38267,1.96395,0.78488,0.00057902,0.00057902,0.00057902
8,147.728,0.43296,0.81258,0.87433,0.8557,0.30667,0.75437,0.66863,0.43383,2.03991,0.8225,0.000644865,0.000644865,0.000644865
9,164.829,0.43513,0.72114,0.87659,0.89544,0.34265,0.84516,0.77548,0.35402,1.85539,0.81123,0.00070576,0.00070576,0.00070576
10,181.727,0.44353,0.71148,0.87181,0.97698,0.56593,0.94702,0.85826,0.39114,1.7273,0.81109,0.000761705,0.000761705,0.000761705
11,198.521,0.4544,0.76341,0.87894,0.921,0.77726,0.92754,0.7892,0.49836,1.55558,0.89341,0.0008127,0.0008127,0.0008127
12,215.76,0.4398,0.65078,0.8726,0.73099,0.72466,0.81677,0.74673,0.4005,1.47775,0.81082,0.000858745,0.000858745,0.000858745
13,232.961,0.42585,0.64586,0.85525,0.78427,0.67861,0.82841,0.74493,0.35825,1.48047,0.81939,0.00089984,0.00089984,0.00089984
14,249.608,0.41634,0.6652,0.8687,0.59596,0.76703,0.73048,0.62458,0.41158,1.43432,0.83469,0.000935985,0.000935985,0.000935985
15,266.604,0.38946,0.67578,0.85947,0.8178,0.77803,0.84702,0.76521,0.38114,1.43505,0.79429,0.00096718,0.00096718,0.00096718
16,285.14,0.40012,0.71048,0.89684,0.87324,0.91852,0.90678,0.84409,0.33852,1.26784,0.80456,0.000993425,0.000993425,0.000993425
17,303.302,0.40185,0.60544,0.85285,0.95435,0.96,0.96567,0.85471,0.38994,0.91379,0.82554,0.00101472,0.00101472,0.00101472
18,321.29,0.38553,0.59283,0.85659,0.93915,0.96,0.97207,0.87557,0.36936,0.77743,0.80196,0.00103106,0.00103106,0.00103106
19,339.403,0.3997,0.62276,0.87977,0.94402,0.94667,0.97271,0.91106,0.35011,0.72032,0.78716,0.00104246,0.00104246,0.00104246
20,357.261,0.39247,0.60856,0.86217,0.97198,0.97333,0.97344,0.89636,0.37077,0.69831,0.78477,0.00104891,0.00104891,0.00104891
21,374.752,0.40937,0.59816,0.86515,0.97286,0.95611,0.97325,0.91655,0.30882,0.68196,0.76629,0.00101,0.00101,0.00101
22,392.059,0.37974,0.63174,0.86536,0.98274,0.94667,0.97141,0.95096,0.28111,0.68903,0.7563,0.0009605,0.0009605,0.0009605
23,409.162,0.37821,0.5787,0.8541,0.94826,0.97748,0.98872,0.95564,0.29045,0.69717,0.75808,0.000911,0.000911,0.000911
24,426.399,0.37343,0.60049,0.85499,0.92157,0.98667,0.95449,0.90195,0.357,0.73769,0.83478,0.0008615,0.0008615,0.0008615
25,443.631,0.36331,0.56357,0.83555,0.92144,0.98667,0.95008,0.89403,0.32481,0.69187,0.85429,0.000812,0.000812,0.000812
26,461.009,0.33567,0.5767,0.85553,0.92013,0.97333,0.97258,0.91714,0.32074,0.63115,0.81839,0.0007625,0.0007625,0.0007625
27,479.078,0.33968,0.53158,0.82359,0.94581,0.98667,0.98179,0.93365,0.28804,0.56642,0.77936,0.000713,0.000713,0.000713
28,496.94,0.31768,0.50855,0.84086,0.93654,0.98392,0.98687,0.96172,0.24557,0.50394,0.7604,0.0006635,0.0006635,0.0006635
29,514.686,0.32639,0.52297,0.86181,0.93588,0.98667,0.98626,0.95704,0.24346,0.50271,0.75644,0.000614,0.000614,0.000614
30,531.528,0.31208,0.51003,0.8438,0.95633,0.98667,0.98836,0.95724,0.23209,0.48597,0.74761,0.0005645,0.0005645,0.0005645
31,548.873,0.23631,0.52441,0.78389,0.94579,1,0.98766,0.9562,0.23045,0.49056,0.74825,0.000515,0.000515,0.000515
32,565.63,0.23056,0.51639,0.78624,0.98656,0.97879,0.99063,0.98584,0.20851,0.54016,0.75268,0.0004655,0.0004655,0.0004655
33,582.068,0.21897,0.53016,0.77973,0.97388,0.99434,0.99408,0.98744,0.18984,0.50326,0.74519,0.000416,0.000416,0.000416
34,598.769,0.19397,0.50269,0.78061,0.98614,0.97333,0.99435,0.98539,0.19466,0.46723,0.74843,0.0003665,0.0003665,0.0003665
35,616.074,0.19803,0.46622,0.77461,0.97924,0.98667,0.99396,0.9854,0.19473,0.43396,0.75094,0.000317,0.000317,0.000317
36,633.444,0.2304,0.51955,0.78008,0.96154,0.99992,0.99395,0.9834,0.1878,0.40988,0.751,0.0002675,0.0002675,0.0002675
37,650.731,0.21264,0.45469,0.77583,0.96112,1,0.9937,0.984,0.1848,0.40248,0.74945,0.000218,0.000218,0.000218
38,667.713,0.19702,0.4378,0.77245,0.96091,0.98326,0.99277,0.98408,0.17951,0.4035,0.74909,0.0001685,0.0001685,0.0001685
39,684.444,0.18763,0.45175,0.78292,0.96087,0.98667,0.99236,0.98323,0.1762,0.40564,0.74844,0.000119,0.000119,0.000119
40,701.702,0.18484,0.42899,0.7693,0.95733,1,0.99096,0.98101,0.17827,0.4063,0.75257,6.95e-05,6.95e-05,6.95e-05
